Ciência da Computação (Matutino)
;;Segunda;Terça;Quarta;Quinta;Sexta
2a fase;8h-10h;Wilson Castello Branco Neto;Wilson Castello Branco Neto;Robson Costa;Alexandre Perin de Souza;Robson Costa
2a fase;10h-12h;Alexandre Perin de Souza;Vilma Gisele Karsburg;Robson Costa;Robson Costa;Vilma Gisele Karsburg
4a fase;8h-10h;Alexandre Perin de Souza;Vilma Gisele Karsburg;Alexandre Perin de Souza;Fernando Weber Albiero;Wilson Castello Branco Neto
4a fase;10h-12h;Vilma Gisele Karsburg;Wilson Castello Branco Neto;Fabio Aiub Sperotto;Fabio Aiub Sperotto;Alexandre Perin de Souza
6a fase;8h-10h;Robson Costa;Carlos Andres Ferrero;Wilson Castello Branco Neto;Robson Costa;Vilson Heck Junior
6a fase;10h-12h;Wilson Castello Branco Neto;Robson Costa;Carlos Andres Ferrero;Vilson Heck Junior;Robson Costa
8a fase;8h-10h;Fernando Weber Albiero;Leonardo Bravo Estacio;Orientador;Vilson Heck Junior;Alexandre Perin de Souza
8a fase;10h-12h;Fernando Weber Albiero;Orientador;Vilson Heck Junior;Alexandre Perin de Souza;Leonardo Bravo Estacio
Engenharia Mecânica (Matutino)
;;Segunda;Terça;Quarta;Quinta;Sexta
2a fase;8h-10h;Juliana Mercedes Rheinheimer;Ailton Durigon;Eliana Fernandes Borragini;Natalia Madalena Boelter;Ailton Durigon
2a fase;10h-12h;Natalia Madalena Boelter;Eliana Fernandes Borragini;Juliana Mercedes Rheinheimer;Vilma Gisele Karsburg;Paula Clarice Santos G. de Jesus
4a fase;8h-10h;Matheus Fontanelle Pereira;Matheus Fontanelle Pereira;Ailton Durigon;Rafael Gustavo Schreiber;Eliana Fernandes Borragini
4a fase;10h-12h;Eliana Fernandes Borragini;Ricardo Teran Muhl;Ailton Durigon;Anderson Luis Garcia Correia;Anderson Luis Garcia Correia
6a fase;8h-10h;Fernando da Silva Osório;Anderson Luis Garcia Correia;Matheus Fontanelle Pereira;Anderson Luis Garcia Correia;Rafael Gustavo Schreiber
6a fase;10h-12h;Ariton Araldi;Rafael Gustavo Schreiber;Cláudio Marques Schaeffer;Matheus Fontanelle Pereira;Fernando da Silva Osório
8a fase;8h-10h;Rafael Gustavo Schreiber;Ariton Araldi;Rogério da Silva;Cláudio Marques Schaeffer;Matheus Fontanelle Pereira
8a fase;10h-12h;Matheus Fontanelle Pereira;Diego Augusto Gonzaga;Natalia Madalena Boelter;Natalia Madalena Boelter;Larisse Kupski
10a fase;8h-10h;Nenhum;Nenhum;Nenhum;Matheus Fontanelle Pereira;Fernando da Silva Osório
10a fase;10h-12h;Fernando da Silva Osório;Nenhum;Nenhum;Nenhum;Matheus Fontanelle Pereira
Engenharia Química (Matutino)
;;Segunda;Terça;Quarta;Quinta;Sexta
2a fase;8h-10h;Eliana Fernandes Borragini;Eliana Fernandes Borragini;Carolina Berger;Ailton Durigon;Ricardo Teran Muhl
2a fase;10h-12h;Geovani Raulino;Geovani Raulino;Carolina Berger;Taiana Maria Deboni;Ailton Durigon
4a fase;8h-10h;Eder Corvalão;Eder Corvalão;Gustavo Henrique S. Flores Ponce;Thiago Meneghel Rodrigues;Geovani Raulino
4a fase;10h-12h;Marco Aurélio Woehl;Haroldo Gregório de Oliveira;Gustavo Henrique S. Flores Ponce;Jaqueline Suave;Geovani Raulino
6a fase;8h-10h;Michael Ramos Nunes;Haroldo Gregório de Oliveira;Vilma Gisele Karsburg;Vilma Gisele Karsburg;Gustavo Henrique S. Flores Ponce
6a fase;10h-12h;Diego Bittencourt Machado;Jaqueline Suave;Haroldo Gregório de Oliveira;Gustavo Henrique S. Flores Ponce;Jaqueline Suave
